id,nameSkill,level,mechanicTypes,values
8,Aura,1,Damage,"1, 0, 0.5"
,,,ProjectileNumber,1
,,,ProjectileSpeed,50
,,,TargetFrom,0
,,,TargetTo,0
,,,effect_1,"5, -1"
,,,ProjectileSize,5
,,,custom_value_1,1.5
,,2,Damage,"1, 0, 0.5"
,,,ProjectileNumber,1
,,,ProjectileSpeed,50
,,,TargetFrom,0
,,,TargetTo,0
,,,effect_1,"5, -1"
,,,ProjectileSize,5.1
,,,custom_value_1,1.5
,,3,Damage,"1, 0, 0.5"
,,,ProjectileNumber,1
,,,ProjectileSpeed,50
,,,TargetFrom,0
,,,TargetTo,0
,,,effect_1,"5, -1"
,,,ProjectileSize,5.2
,,,custom_value_1,1.5
,,4,Damage,"1, 0, 0.7"
,,,ProjectileNumber,1
,,,ProjectileSpeed,50
,,,TargetFrom,0
,,,TargetTo,0
,,,effect_1,"5, -1"
,,,ProjectileSize,5.2
,,,custom_value_1,1.5
,,5,Damage,"1, 0, 0.7"
,,,ProjectileNumber,1
,,,ProjectileSpeed,50
,,,TargetFrom,0
,,,TargetTo,0
,,,effect_1,"5, -1"
,,,ProjectileSize,5.2
,,,custom_value_1,1.3
