id,nameSkill,level,mechanicTypes,values
2,Tên thần,1,Cooldown,2
,,,Damage,"1, 0, 1"
,,,ProjectileNumber,3
,,,ProjectileSpeed,15
,,,TargetFrom,0
,,,TargetTo,3
,,,effect_1,"5, -1"
,,,custom_value_1,10
,,2,Cooldown,1.8
,,,Damage,"1, 0, 1.1"
,,,ProjectileNumber,3
,,,ProjectileSpeed,15
,,,TargetFrom,0
,,,TargetTo,3
,,,effect_1,"5, -1"
,,,custom_value_1,10
,,3,Cooldown,1.8
,,,Damage,"1, 0, 1.4"
,,,ProjectileNumber,3
,,,ProjectileSpeed,15
,,,TargetFrom,0
,,,TargetTo,3
,,,effect_1,"5, -1"
,,,custom_value_1,10
,,4,Cooldown,1.7
,,,Damage,"1, 0, 1.4"
,,,ProjectileNumber,3
,,,ProjectileSpeed,15
,,,TargetFrom,0
,,,TargetTo,3
,,,effect_1,"5, -1"
,,,custom_value_1,10
,,5,Cooldown,1.6
,,,Damage,"1, 0, 1.4"
,,,ProjectileNumber,3
,,,ProjectileSpeed,15
,,,TargetFrom,0
,,,TargetTo,3
,,,effect_1,"5, -1"
,,,custom_value_1,10
