id,nameSkill,level,mechanicTypes,values
1,Kiếm thần,1,Damage,"1,0,1"
,,,Range,4.5
,,,ProjectileNumber,3
,,,ProjectileSpeed,90
,,,TargetFrom,0
,,,TargetTo,0
,,,ProjectileSize,1
,,2,Damage,"1,0,1.2"
,,,Range,5
,,,ProjectileNumber,4
,,,ProjectileSpeed,90
,,,TargetFrom,0
,,,TargetTo,0
,,,ProjectileSize,1.2
,,3,Damage,"1,0,1.5"
,,,Range,5.5
,,,ProjectileNumber,5
,,,ProjectileSpeed,90
,,,TargetFrom,0
,,,TargetTo,0
,,,ProjectileSize,1.3
,,4,Damage,"1,0,1.5"
,,,Range,6
,,,ProjectileNumber,5
,,,ProjectileSpeed,90
,,,TargetFrom,0
,,,TargetTo,0
,,,ProjectileSize,1.4
,,5,Damage,"1,0,1.5"
,,,Range,6.5
,,,ProjectileNumber,6
,,,ProjectileSpeed,90
,,,TargetFrom,0
,,,TargetTo,0
,,,ProjectileSize,1.5
